CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
1918-16-7,propachlor,CC(C)N(C(=O)CCl)c1ccccc1,,,,,
50-28-2,estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,3.33,,,,
100-02-7,4-nitrophenol,O=[N+]([O-])c1ccc(O)cc1,2.72,,,,
1006-59-3,"2,6-diethylphenol",CCc1cccc(CC)c1O,2.73,,,,
104-40-5,4-n-nonylphenol,CCCCCCCCCc1ccc(O)cc1,5.61,,,,
105-53-3,diethyl malonate,CCOC(=O)CC(=O)OCC,0.5,,,,
106-44-5,4-methylphenol,Cc1ccc(O)cc1,2.35,,,,
106-46-7,"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,3.57,,,,
107-21-1,ethylene glycol,OCCO,-0.79,,,,
108-39-4,3-methylphenol,Cc1cccc(O)c1,2.34,,,,
108-70-3,"1,3,5-trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,4.16,,,,
108-93-0,cyclohexanol,OC1CCCCC1,1.01,,,,
108-94-1,cyclohexanone,O=C1CCCCC1,0.54,,,,
108-95-2,phenol,Oc1ccccc1,1.96,,,,
111-29-5,"1,5-pentanediol",OCCCCCO,-0.7,,,,
1117-86-8,"1,2-octanediol",CCCCCCC(O)CO,1.93,,,,
118-74-1,hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,5.64,,,,
118-92-3,anthranilic acid,Nc1ccccc1C(=O)O,2.08,,,,
118-95-6,"2-isopropyl-4,6-dinitrophenol",CC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,3.14,,,,
1198-55-6,tetrachlorocatechol,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,4.41,,,,
120-83-2,"2,4-dichlorophenol",Oc1ccc(Cl)cc1Cl,3.57,,,,
123-07-9,4-ethylphenol,CCc1ccc(O)cc1,2.78,,,,
126924-38-7,norfluoxetine,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.49,,,,
13214-66-9,4-phenylbutylamine,NCCCCc1ccccc1,2.41,,,,
137-58-6,lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C,2.15,,,,
13979-81-2,"3,5-dibromo-4-methylphenol",Cc1c(Br)cc(O)cc1Br,4.51,,,,
140-66-9,4-tert-octylphenol,CC(C)(C)CC(C)(C)c1ccc(O)cc1,5.39,,,,
141-03-7,dibutyl succinate,CCCCOC(=O)CCC(=O)OCCCC,2.4,,,,
141-28-6,diethyl adipate,CCOC(=O)CCCCC(=O)OCC,1.66,,,,
1420-07-1,"2-tert-butyl-4,6-dinitrophenol",CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,4.1,,,,
1460-57-7,"trans-1,2-cyclohexanediol",O[C@@H]1CCCC[C@H]1O,0.23,,,,
14763-60-1,4-(methylsulfonyl)phenol,CS(=O)(=O)c1ccc(O)cc1,1.27,,,,
149-32-6,erythritol,OC[C@@H](O)[C@@H](O)CO,-1.24,,,,
14938-35-3,4-n-pentylphenol,CCCCCc1ccc(O)cc1,4.31,,,,
15307-86-5,diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.45,,,,
15687-27-1,Ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,3.8,,,,
16128-96-4,S-13b,CC(C)(C)c1cc(Cl)c(O)c(C(=O)Nc2ccc(Cl)cc2[N+](=O)[O-])c1,6.44,,,,
1638-22-8,4-n-butylphenol,CCCCc1ccc(O)cc1,3.13,,,,
1689-84-5,"3,5-dibromo-4-hydroxybenzonitrile",N#Cc1cc(Br)c(O)c(Br)c1,3.16,,,,
1745-81-9,2-allylphenol,C=CCc1ccccc1O,3.06,,,,
192-97-2,benzo[e]pyrene,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,7.08,,,,
193-39-5,"indeno[1,2,3-cd]pyrene",c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,7.86,,,,
207-08-9,benzo[k]fluoranthene,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,7.13,,,,
